Month,keyword,count,tweets
2'21,years,429,"['    cornell     she s been the  1 woman in talk radio for many years  only woman in the top 10 ', '      marquis        i look forward to that  you may like a paper that i published two years ago  with eesley  skousen  and cheng  on this subject in strategy science   see ya   ', '      cornell then there is ecological collapse which is driven not primarily by climate change but by capitalism having us take 30 billion tonnes more resources a year beyond maximum 50 billion global limit to service perpetual growth   doubling every 30 years  cant circular that lot ', '2  second year grad school professor lipskey    later to become dean lipskey   on reading one of my papers wrote  wow  you made me think differently  that doesn t happen often  thanks      a    that was about 40 years ago  i guess i got my  kick in the butt  ', '  yes  me too    old man hobbies setting in during covid times  really makes you value the work that cornell has done for their bird tracking database  i am a thousand years old  ']"
2'21,vintage,429,"[' vintage  music  records  78rpm  10inch  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller in my  etsy  shop  g v  ', ' vintage  music  records  78rpm  10inch  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller in my  etsy  shop  g t  ', ' vintage  music  records  78rpm  10inch  doncornell  chuckmiller  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry in my  etsy  shop   g s  ', ' vintage  music  records  78rpm  10inch  snookylanson  doncornell  chuckmiller  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday in my  etsy  shop  g q  ', ' vintage  music  records  78rpm  10inch  doncornell  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller  snookylanson  tennesseeernie in my  etsy  shop  g d  ']"
2'21,chester,427,"['  chester bennington  chris cornell  freddie mercury  layne staley   take your pic', '  bowie  prince  chris cornell  chester bennington  george michael ', 'chris cornell feat chester bennington   hunger strike  live   ', '  e tudo indica que a morte do cornell foi a gota d agua pro chester', 'sei l   s vezes bate uma bad quando vou escutar m sica e penso que o chor o  o chester bennington e o chris cornell morreram  ']"
2'21,state,420,"['    i have an old progressive pro labor joe hill poster from the 1970 s ithaca cornell area that i now need to unearth and scrutinize  paragraphs of statements and quotes surround his image if i recall correctly ', '  football       pg c o  22 max prep ma  leading scorer 207 points   3 8 gpa 1  1  2  0   sat nhs 5 7   170   4 48 40yd       bench 265  5 reps        squat 405  3 reps        deadlift 420  3 reps        state champion    1st team all state   all western mass    ncaa qualified    ', 'the full list     bk s taylor norris  chicago state    bk s saniaa wilson  seton hall    bk s marianna freeman  niagara    mercy s katie whitaker  furman    gates chili s miriam ibezim  oakland    pittsford mendon s lexi green  cornell    dansville s arayana young  niagara ', '  if we more plain and smaller dairy farmers used the word  agrarian  the prodairy group at cornell and the state s big dairies would laugh us out of the room', ' you can t lead people if you don t love people  you can t save people if you don t serve people     cornell west lord  watch over        amp  the team as they lead our state  cover them  protect them  and allow them to have rest  amen   ']"
2'21,78rpm,419,"[' vintage  music  records  78rpm  10inch  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller in my  etsy  shop  g v  ', ' vintage  music  records  78rpm  10inch  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller in my  etsy  shop  g t  ', ' vintage  music  records  78rpm  10inch  doncornell  chuckmiller  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry in my  etsy  shop   g s  ', ' vintage  music  records  78rpm  10inch  snookylanson  doncornell  chuckmiller  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday in my  etsy  shop  g q  ', ' vintage  music  records  78rpm  10inch  doncornell  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller  snookylanson  tennesseeernie in my  etsy  shop  g d  ']"
2'21,10inch,419,"[' vintage  music  records  78rpm  10inch  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller in my  etsy  shop  g v  ', ' vintage  music  records  78rpm  10inch  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller in my  etsy  shop  g t  ', ' vintage  music  records  78rpm  10inch  doncornell  chuckmiller  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry in my  etsy  shop   g s  ', ' vintage  music  records  78rpm  10inch  snookylanson  doncornell  chuckmiller  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday in my  etsy  shop  g q  ', ' vintage  music  records  78rpm  10inch  doncornell  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller  snookylanson  tennesseeernie in my  etsy  shop  g d  ']"
2'21,etsy,419,"[' vintage  music  records  78rpm  10inch  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller in my  etsy  shop  g v  ', ' vintage  music  records  78rpm  10inch  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller in my  etsy  shop  g t  ', ' vintage  music  records  78rpm  10inch  doncornell  chuckmiller  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry in my  etsy  shop   g s  ', ' vintage  music  records  78rpm  10inch  snookylanson  doncornell  chuckmiller  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday in my  etsy  shop  g q  ', ' vintage  music  records  78rpm  10inch  doncornell  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller  snookylanson  tennesseeernie in my  etsy  shop  g d  ']"
2'21,notes,417,"['i ll never forgive cornell notes', '  cancel amino acids and cornell notes  ', 'i actually finished and turned in my cornell notes this week ig thats something', '  my sophomores hate cornell notes with a passion  i m learning about sketchnoting to see if that might be a better alternative next year ', 'taylor wants everyone to know that she hates how she slept on cornell style notes all of college    ']"
2'21,never,411,"['        official well rosa parks never finished technical college not to talk of attending cornell  but went on to fight for social injustice  which only shows being book smart doesnt really mean you learn the struggle of others      ', '  in addition to the gold statue  the flag should never be used as wearing apparel  bedding  or drapery       cornell university   law 4 u s  code   8   respect for flag   u s  code', '            than the so hurt  babies youth   left behind by humans who killed their parents have to trust them to survive instead letting our family members worldwide do their jobs   my family should never be compared to humans   ', '            again never was about me however humans want to make it about i will call them out on everything now especially their fucking stupidity   ', '  y all were cornell students but i wasn t  reesh came outside with one of your id cards to meet me and sneak me inside  but then i got distracted and went elsewhere and never came back     even in the dream i was like you ghosted your friends wtf   sooooo xd']"
2'21,take,409,"['thank you to everyone hosting this weekend  cornell  mafl  vfl  and iifa all had really efficient and fun tournaments  and congrats to everyone on a good day of competition  we ll be back at it tomorrow  get some rest and take care       ', '            if my  motherearth decides to take everyone involved in treating her like trash she cannot be sued for she became less important than those in poverty   she however has the right to sue the whole human population   ', 'sb  mid 1   uwf takes advantage of an error to score a run  booker  cornell  akles to lead us off   uwf 1  uah 0   chargermania', '      cornell then there is ecological collapse which is driven not primarily by climate change but by capitalism having us take 30 billion tonnes more resources a year beyond maximum 50 billion global limit to service perpetual growth   doubling every 30 years  cant circular that lot ', '  not he s done anything wrong just more i don t think he s very good let s in a lot he could save more then he makes mistakes ain t like cornell just think he poor in my opinion anyways']"
