,County,Coordinates,Area (sq/mi),Radius (mi)
215,HOCKLEY,"[33.5714311, -102.3110415]",908.39,17.004647762292997
216,COCHRAN,"[33.5905096, -102.805677]",775.15,15.708124821918663
217,TERRY,"[33.1514254, -102.3328121]",888.84,16.820668943547386
218,CROSBY,"[33.5778818, -101.2855737]",900.20,16.92781765803542
219,YOAKUM,"[33.1536951, -102.833579]",799.71,15.955033901440526
220,BAILEY,"[34.0349194, -102.8149372]",826.80,16.22301993881111
221,LUBBOCK,"[33.5635206, -101.879336]",895.60,16.884511897067924
222,GARZA,"[33.1414018, -101.287742]",893.41,16.863855513839653
223,DAWSON,"[32.7410762, -101.9576048]",900.31,16.92885187435525
224,GAINES,"[32.7044935, -102.6220553]",1502.37,21.86854654585009
225,LYNN,"[33.1474257, -101.812592]",891.87,16.84931485578398
226,JONES,"[32.7135946, -99.8606106]",928.55,17.19230531627956
227,STONEWALL,"[33.1571742, -100.2453011]",916.31,17.078616283867206
228,NOLAN,"[32.2719306, -100.3987748]",912.00,17.038403038419826
229,TAYLOR,"[32.2793121, -99.8812612]",915.55,17.071532196119882
230,HOWARD,"[32.3047833, -101.4271085]",900.79,16.933364079104084
231,MITCHELL,"[32.2898049, -100.9213003]",911.09,17.029900397832126
232,SCURRY,"[32.7225172, -100.9052015]",905.44,16.977013979515704
233,KENT,"[33.1665316, -100.7846477]",902.51,16.949522948660583
234,FISHER,"[32.7090882, -100.3811922]",898.94,16.91596666992943
235,MIDLAND,"[31.83688, -102.0103767]",900.30,16.92875785730066
236,MARTIN,"[32.2675039, -101.9190317]",914.94,17.06584415626359
237,ANDREWS,"[32.2690953, -102.6042447]",1500.71,21.85646169975339
238,REEVES,"[31.232003, -103.6583657]",2635.37,28.9635817145071
239,WARD,"[31.5007583, -103.0781186]",835.60,16.309125836423757
240,PECOS,"[30.7857437, -102.8065415]",4763.84,38.941264634801364
241,CRANE,"[31.4486118, -102.5163544]",785.07,15.808317830223405
242,JEFF DAVIS,"[30.7018281, -104.1501698]",2264.55,26.848648242736534
243,BORDEN,"[32.6879416, -101.425711]",897.44,16.901847516375696
244,GLASSCOCK,"[31.8640224, -101.4811312]",900.22,16.928005702066038
245,ECTOR,"[31.8941755, -102.5794339]",897.69,16.904201527589915
246,WINKLER,"[31.8005913, -103.0762299]",841.11,16.36280919491893
247,UPTON,"[31.3720387, -102.0386055]",1241.32,19.87803012095852
248,LOVING,"[31.8364044, -103.5663536]",668.92,14.59212557920559
249,EL PASO,"[31.7754152, -106.464634]",1012.69,17.954351723803885
250,BREWSTER,"[29.8462742, -103.2400734]",6183.73,44.3666591670703
251,HUDSPETH,"[31.5388627, -105.4752945]",4570.98,38.144869066877625
252,PRESIDIO,"[29.9883766, -104.2336552]",3855.23,35.03132905839635
253,CULBERSON,"[31.4622625, -104.482834]",3812.79,34.83797562429878
